codigo_cliente,ultima_compra_civil,dias_civis_sem_compra
CLI-00001460,2024-10-11,446
CLI-00001482,2024-10-11,446
CLI-00002973,2024-10-11,446
CLI-00001516,2024-10-12,445
CLI-00001249,2024-10-13,444
CLI-00002264,2024-10-13,444
CLI-00002322,2024-10-13,444
CLI-00000717,2024-10-14,443
CLI-00000867,2024-10-14,443
CLI-00000920,2024-10-14,443
CLI-00001386,2024-10-14,443
CLI-00001415,2024-10-14,443
CLI-00002091,2024-10-14,443
CLI-00002319,2024-10-14,443
CLI-00000771,2024-10-15,442
CLI-00001043,2024-10-15,442
CLI-00001035,2024-10-16,441
CLI-00001039,2024-10-16,441
CLI-00002722,2024-10-16,441
CLI-00000095,2024-10-17,440
CLI-00001925,2024-10-17,440
CLI-00000220,2024-10-18,439
CLI-00000506,2024-10-19,438
CLI-00001290,2024-10-19,438
CLI-00001260,2024-10-21,436
CLI-00000376,2024-10-22,435
CLI-00000424,2024-10-23,434
CLI-00001878,2024-10-23,434
CLI-00003335,2024-10-23,434
CLI-00000400,2024-10-24,433
CLI-00000697,2024-10-24,433
CLI-00002143,2024-10-24,433
CLI-00000117,2024-10-25,432
CLI-00000255,2024-10-25,432
CLI-00000945,2024-10-25,432
CLI-00001487,2024-10-25,432
CLI-00002403,2024-10-25,432
CLI-00000062,2024-10-26,431
CLI-00000516,2024-10-26,431
CLI-00001113,2024-10-26,431
CLI-00001898,2024-10-26,431
CLI-00002584,2024-10-27,430
CLI-00001469,2024-10-28,429
CLI-00001551,2024-10-28,429
CLI-00000165,2024-11-01,425
CLI-00000509,2024-11-01,425
CLI-00001330,2024-11-01,425
CLI-00001674,2024-11-01,425
CLI-00000350,2024-11-02,424
CLI-00001953,2024-11-02,424
CLI-00000252,2024-11-03,423
CLI-00000348,2024-11-03,423
CLI-00000652,2024-11-03,423
CLI-00000766,2024-11-03,423
CLI-00001133,2024-11-03,423
CLI-00001767,2024-11-03,423
CLI-00003530,2024-11-03,423
CLI-00000849,2024-11-04,422
CLI-00001455,2024-11-04,422
CLI-00003574,2024-11-04,422
CLI-00001431,2024-11-05,421
CLI-00000561,2024-11-06,420
CLI-00000907,2024-11-06,420
CLI-00001463,2024-11-06,420
CLI-00001623,2024-11-06,420
CLI-00001651,2024-11-06,420
CLI-00001712,2024-11-06,420
CLI-00002050,2024-11-06,420
CLI-00003220,2024-11-06,420
CLI-00000167,2024-11-07,419
CLI-00000963,2024-11-07,419
CLI-00001302,2024-11-07,419
CLI-00001368,2024-11-08,418
CLI-00001718,2024-11-08,418
CLI-00001747,2024-11-08,418
CLI-00001845,2024-11-08,418
CLI-00002338,2024-11-08,418
CLI-00002475,2024-11-08,418
CLI-00000507,2024-11-09,417
CLI-00000534,2024-11-09,417
CLI-00001427,2024-11-09,417
CLI-00001454,2024-11-09,417
CLI-00001989,2024-11-09,417
CLI-00002715,2024-11-09,417
CLI-00003326,2024-11-09,417
CLI-00000404,2024-11-10,416
CLI-00000408,2024-11-10,416
CLI-00001306,2024-11-10,416
CLI-00001517,2024-11-10,416
CLI-00001607,2024-11-10,416
CLI-00001921,2024-11-10,416
CLI-00001998,2024-11-10,416
CLI-00002010,2024-11-10,416
CLI-00003231,2024-11-10,416
CLI-00003324,2024-11-10,416
CLI-00000135,2024-11-11,415
CLI-00001523,2024-11-11,415
CLI-00001668,2024-11-11,415
CLI-00002062,2024-11-11,415
CLI-00003124,2024-11-11,415
CLI-00003272,2024-11-11,415
CLI-00000318,2024-11-12,414
CLI-00001578,2024-11-12,414
CLI-00001983,2024-11-12,414
CLI-00000087,2024-11-13,413
CLI-00000578,2024-11-13,413
CLI-00000611,2024-11-13,413
CLI-00000902,2024-11-13,413
CLI-00001181,2024-11-13,413
CLI-00001506,2024-11-13,413
CLI-00001868,2024-11-13,413
CLI-00002001,2024-11-13,413
CLI-00002070,2024-11-13,413
CLI-00002174,2024-11-13,413
CLI-00000179,2024-11-14,412
CLI-00001404,2024-11-14,412
CLI-00001467,2024-11-14,412
CLI-00001478,2024-11-14,412
CLI-00002228,2024-11-14,412
CLI-00003387,2024-11-14,412
CLI-00000218,2024-11-15,411
CLI-00002441,2024-11-15,411
CLI-00000407,2024-11-16,410
CLI-00001160,2024-11-16,410
CLI-00001452,2024-11-16,410
CLI-00001699,2024-11-16,410
CLI-00001704,2024-11-16,410
CLI-00003055,2024-11-16,410
CLI-00003147,2024-11-16,410
CLI-00000072,2024-11-17,409
CLI-00000792,2024-11-17,409
CLI-00000903,2024-11-17,409
CLI-00001110,2024-11-17,409
CLI-00001379,2024-11-17,409
CLI-00002248,2024-11-17,409
CLI-00003562,2024-11-17,409
CLI-00000549,2024-11-18,408
CLI-00001611,2024-11-18,408
CLI-00000377,2024-11-19,407
CLI-00000712,2024-11-19,407
CLI-00001123,2024-11-19,407
CLI-00001399,2024-11-19,407
CLI-00001986,2024-11-19,407
CLI-00002774,2024-11-19,407
CLI-00001937,2024-11-20,406
CLI-00001955,2024-11-20,406
CLI-00000120,2024-11-21,405
CLI-00000576,2024-11-21,405
CLI-00000785,2024-11-21,405
CLI-00001334,2024-11-21,405
CLI-00001638,2024-11-21,405
CLI-00002529,2024-11-21,405
CLI-00002582,2024-11-22,404
CLI-00003595,2024-11-22,404
CLI-00000050,2024-11-23,403
CLI-00000083,2024-11-23,403
CLI-00000574,2024-11-23,403
CLI-00000719,2024-11-23,403
CLI-00000944,2024-11-23,403
CLI-00001456,2024-11-23,403
CLI-00001746,2024-11-23,403
CLI-00002563,2024-11-23,403
CLI-00001064,2024-11-24,402
CLI-00001338,2024-11-24,402
CLI-00002194,2024-11-24,402
CLI-00002850,2024-11-24,402
CLI-00002852,2024-11-24,402
CLI-00000005,2024-11-25,401
CLI-00000370,2024-11-25,401
CLI-00000563,2024-11-25,401
CLI-00001908,2024-11-25,401
CLI-00002196,2024-11-25,401
CLI-00002904,2024-11-25,401
CLI-00001007,2024-11-26,400
CLI-00001548,2024-11-26,400
CLI-00001755,2024-11-26,400
CLI-00000029,2024-11-27,399
CLI-00000256,2024-11-27,399
CLI-00000281,2024-11-27,399
CLI-00001155,2024-11-27,399
CLI-00001371,2024-11-27,399
CLI-00001567,2024-11-27,399
CLI-00001734,2024-11-27,399
CLI-00001836,2024-11-27,399
CLI-00000456,2024-11-28,398
CLI-00000538,2024-11-28,398
CLI-00001034,2024-11-28,398
CLI-00001397,2024-11-28,398
CLI-00001424,2024-11-28,398
CLI-00001875,2024-11-28,398
CLI-00003237,2024-11-28,398
CLI-00000241,2024-12-01,395
CLI-00000635,2024-12-01,395
CLI-00003101,2024-12-01,395
CLI-00000863,2024-12-02,394
CLI-00000928,2024-12-02,394
CLI-00002354,2024-12-02,394
CLI-00000039,2024-12-03,393
CLI-00000299,2024-12-03,393
CLI-00000804,2024-12-03,393
CLI-00001207,2024-12-03,393
CLI-00001259,2024-12-03,393
CLI-00002238,2024-12-03,393
CLI-00002757,2024-12-03,393
CLI-00003198,2024-12-03,393
CLI-00000740,2024-12-04,392
CLI-00000872,2024-12-04,392
CLI-00002469,2024-12-04,392
CLI-00003458,2024-12-04,392
CLI-00000130,2024-12-05,391
CLI-00001485,2024-12-05,391
CLI-00002768,2024-12-05,391
CLI-00000251,2024-12-06,390
CLI-00001905,2024-12-06,390
CLI-00002214,2024-12-06,390
CLI-00002862,2024-12-07,389
CLI-00003538,2024-12-07,389
CLI-00001890,2024-12-08,388
CLI-00002701,2024-12-08,388
CLI-00003195,2024-12-08,388
CLI-00001929,2024-12-09,387
CLI-00000268,2024-12-10,386
CLI-00000760,2024-12-10,386
CLI-00000914,2024-12-10,386
CLI-00001842,2024-12-10,386
CLI-00002982,2024-12-10,386
CLI-00000773,2024-12-11,385
CLI-00001307,2024-12-11,385
CLI-00001377,2024-12-11,385
CLI-00001419,2024-12-11,385
CLI-00001837,2024-12-11,385
CLI-00000161,2024-12-12,384
CLI-00000986,2024-12-12,384
CLI-00001154,2024-12-12,384
CLI-00001589,2024-12-12,384
CLI-00001879,2024-12-12,384
CLI-00002812,2024-12-12,384
CLI-00000739,2024-12-13,383
CLI-00001189,2024-12-13,383
CLI-00001788,2024-12-13,383
CLI-00000052,2024-12-14,382
CLI-00000096,2024-12-14,382
CLI-00000503,2024-12-14,382
CLI-00000216,2024-12-15,381
CLI-00000528,2024-12-15,381
CLI-00000926,2024-12-15,381
CLI-00000280,2024-12-16,380
CLI-00000337,2024-12-16,380
CLI-00001298,2024-12-16,380
CLI-00002423,2024-12-16,380
CLI-00001996,2024-12-17,379
CLI-00003305,2024-12-17,379
CLI-00000254,2024-12-18,378
CLI-00000862,2024-12-18,378
CLI-00002987,2024-12-18,378
CLI-00003444,2024-12-18,378
CLI-00001360,2024-12-19,377
CLI-00001617,2024-12-19,377
CLI-00002068,2024-12-19,377
CLI-00003556,2024-12-19,377
CLI-00000685,2024-12-20,376
CLI-00003369,2024-12-20,376
CLI-00000227,2024-12-21,375
CLI-00000409,2024-12-21,375
CLI-00000727,2024-12-21,375
CLI-00000746,2024-12-21,375
CLI-00000768,2024-12-21,375
CLI-00001751,2024-12-21,375
CLI-00000451,2024-12-22,374
CLI-00001163,2024-12-22,374
CLI-00001274,2024-12-22,374
CLI-00001324,2024-12-22,374
CLI-00001663,2024-12-22,374
CLI-00002978,2024-12-22,374
CLI-00003350,2024-12-22,374
CLI-00003367,2024-12-22,374
CLI-00001062,2024-12-23,373
CLI-00000171,2024-12-24,372
CLI-00000621,2024-12-24,372
CLI-00000806,2024-12-24,372
CLI-00001047,2024-12-24,372
CLI-00001019,2024-12-25,371
CLI-00001408,2024-12-25,371
CLI-00002845,2024-12-25,371
CLI-00001716,2024-12-26,370
CLI-00002326,2024-12-26,370
CLI-00003058,2024-12-26,370
CLI-00003433,2024-12-26,370
CLI-00000584,2024-12-27,369
CLI-00001394,2024-12-27,369
CLI-00001775,2024-12-27,369
CLI-00003483,2024-12-27,369
CLI-00000279,2024-12-28,368
CLI-00000857,2024-12-28,368
CLI-00001308,2024-12-28,368
CLI-00001676,2024-12-28,368
CLI-00002502,2024-12-28,368
CLI-00000684,2025-01-01,364
CLI-00002889,2025-01-01,364
CLI-00003502,2025-01-01,364
CLI-00000609,2025-01-02,363
CLI-00001577,2025-01-02,363
CLI-00001670,2025-01-02,363
CLI-00002296,2025-01-02,363
CLI-00003129,2025-01-02,363
CLI-00003463,2025-01-02,363
CLI-00001737,2025-01-03,362
CLI-00001954,2025-01-03,362
CLI-00002276,2025-01-03,362
CLI-00000512,2025-01-04,361
CLI-00000523,2025-01-04,361
CLI-00001697,2025-01-04,361
CLI-00000002,2025-01-05,360
CLI-00000860,2025-01-05,360
CLI-00001267,2025-01-05,360
CLI-00003033,2025-01-05,360
CLI-00000581,2025-01-06,359
CLI-00001355,2025-01-06,359
CLI-00001413,2025-01-06,359
CLI-00001552,2025-01-06,359
CLI-00002003,2025-01-06,359
CLI-00000466,2025-01-07,358
CLI-00000793,2025-01-07,358
CLI-00003134,2025-01-07,358
CLI-00000590,2025-01-08,357
CLI-00000593,2025-01-08,357
CLI-00002308,2025-01-08,357
CLI-00003281,2025-01-08,357
CLI-00003295,2025-01-08,357
CLI-00001711,2025-01-09,356
CLI-00002063,2025-01-09,356
CLI-00002951,2025-01-09,356
CLI-00003275,2025-01-09,356
CLI-00000596,2025-01-10,355
CLI-00001353,2025-01-10,355
CLI-00001988,2025-01-10,355
CLI-00002152,2025-01-10,355
CLI-00001610,2025-01-11,354
CLI-00001112,2025-01-12,353
CLI-00002692,2025-01-12,353
CLI-00001061,2025-01-13,352
CLI-00001947,2025-01-13,352
CLI-00001984,2025-01-13,352
CLI-00002150,2025-01-13,352
CLI-00002631,2025-01-13,352
CLI-00001497,2025-01-14,351
CLI-00002453,2025-01-14,351
CLI-00002846,2025-01-14,351
CLI-00002922,2025-01-14,351
CLI-00002963,2025-01-14,351
CLI-00003085,2025-01-14,351
CLI-00001812,2025-01-15,350
CLI-00002758,2025-01-15,350
CLI-00003578,2025-01-15,350
CLI-00000138,2025-01-16,349
CLI-00000530,2025-01-16,349
CLI-00001713,2025-01-16,349
CLI-00002743,2025-01-16,349
CLI-00000385,2025-01-17,348
CLI-00000619,2025-01-17,348
CLI-00000947,2025-01-17,348
CLI-00001801,2025-01-17,348
CLI-00001835,2025-01-17,348
CLI-00002069,2025-01-17,348
CLI-00002427,2025-01-17,348
CLI-00000485,2025-01-18,347
CLI-00000689,2025-01-18,347
CLI-00001637,2025-01-18,347
CLI-00001804,2025-01-18,347
CLI-00002449,2025-01-18,347
CLI-00000239,2025-01-20,345
CLI-00002815,2025-01-20,345
CLI-00000235,2025-01-21,344
CLI-00001423,2025-01-21,344
CLI-00002328,2025-01-21,344
CLI-00001687,2025-01-22,343
CLI-00002474,2025-01-22,343
CLI-00002683,2025-01-22,343
CLI-00003212,2025-01-22,343
CLI-00000232,2025-01-23,342
CLI-00000682,2025-01-23,342
CLI-00000960,2025-01-23,342
CLI-00001084,2025-01-23,342
CLI-00001221,2025-01-23,342
CLI-00000146,2025-01-24,341
CLI-00001107,2025-01-24,341
CLI-00001212,2025-01-24,341
CLI-00001279,2025-01-24,341
CLI-00003171,2025-01-24,341
CLI-00001167,2025-01-25,340
CLI-00001811,2025-01-25,340
CLI-00001958,2025-01-25,340
CLI-00002778,2025-01-25,340
CLI-00000270,2025-01-26,339
CLI-00000307,2025-01-26,339
CLI-00001856,2025-01-26,339
CLI-00001924,2025-01-26,339
CLI-00002822,2025-01-26,339
CLI-00000458,2025-01-27,338
CLI-00002830,2025-01-27,338
CLI-00003560,2025-01-27,338
CLI-00000577,2025-01-28,337
CLI-00001205,2025-01-28,337
CLI-00002729,2025-01-28,337
CLI-00001329,2025-02-01,333
CLI-00001541,2025-02-01,333
CLI-00002905,2025-02-01,333
CLI-00000038,2025-02-02,332
CLI-00001527,2025-02-02,332
CLI-00001093,2025-02-03,331
CLI-00001814,2025-02-03,331
CLI-00001979,2025-02-03,331
CLI-00002493,2025-02-03,331
CLI-00002698,2025-02-03,331
CLI-00002761,2025-02-03,331
CLI-00001883,2025-02-04,330
CLI-00003196,2025-02-04,330
CLI-00000655,2025-02-05,329
CLI-00003029,2025-02-05,329
CLI-00003248,2025-02-05,329
CLI-00000028,2025-02-06,328
CLI-00000868,2025-02-06,328
CLI-00001473,2025-02-06,328
CLI-00002275,2025-02-06,328
CLI-00002836,2025-02-06,328
CLI-00001828,2025-02-07,327
CLI-00002749,2025-02-07,327
CLI-00002857,2025-02-07,327
CLI-00003241,2025-02-07,327
CLI-00000101,2025-02-08,326
CLI-00000273,2025-02-08,326
CLI-00000571,2025-02-08,326
CLI-00001854,2025-02-08,326
CLI-00002779,2025-02-08,326
CLI-00003192,2025-02-08,326
CLI-00003411,2025-02-08,326
CLI-00000206,2025-02-09,325
CLI-00000579,2025-02-09,325
CLI-00002411,2025-02-09,325
CLI-00002752,2025-02-09,325
CLI-00003384,2025-02-09,325
CLI-00000320,2025-02-10,324
CLI-00001005,2025-02-10,324
CLI-00001471,2025-02-10,324
CLI-00002084,2025-02-10,324
CLI-00002918,2025-02-10,324
CLI-00003503,2025-02-10,324
CLI-00000406,2025-02-11,323
CLI-00000941,2025-02-11,323
CLI-00001030,2025-02-11,323
CLI-00000608,2025-02-12,322
CLI-00000925,2025-02-12,322
CLI-00001698,2025-02-12,322
CLI-00002669,2025-02-12,322
CLI-00001634,2025-02-13,321
CLI-00001894,2025-02-13,321
CLI-00002116,2025-02-13,321
CLI-00000335,2025-02-14,320
CLI-00002764,2025-02-14,320
CLI-00002920,2025-02-14,320
CLI-00003008,2025-02-14,320
CLI-00001739,2025-02-15,319
CLI-00002038,2025-02-15,319
CLI-00003498,2025-02-15,319
CLI-00000305,2025-02-16,318
CLI-00001108,2025-02-16,318
CLI-00001839,2025-02-16,318
CLI-00001125,2025-02-17,317
CLI-00001645,2025-02-17,317
CLI-00000057,2025-02-18,316
CLI-00000589,2025-02-18,316
CLI-00000846,2025-02-18,316
CLI-00001450,2025-02-18,316
CLI-00001684,2025-02-18,316
CLI-00002168,2025-02-18,316
CLI-00002645,2025-02-18,316
CLI-00001003,2025-02-19,315
CLI-00001100,2025-02-19,315
CLI-00002340,2025-02-19,315
CLI-00002603,2025-02-19,315
CLI-00002990,2025-02-19,315
CLI-00001743,2025-02-20,314
CLI-00002004,2025-02-20,314
CLI-00002048,2025-02-20,314
CLI-00002088,2025-02-20,314
CLI-00001070,2025-02-21,313
CLI-00001641,2025-02-21,313
CLI-00001653,2025-02-21,313
CLI-00001834,2025-02-21,313
CLI-00000592,2025-02-22,312
CLI-00001318,2025-02-22,312
CLI-00003354,2025-02-22,312
CLI-00000445,2025-02-23,311
CLI-00003315,2025-02-23,311
CLI-00000714,2025-02-25,309
CLI-00000730,2025-02-25,309
CLI-00001240,2025-02-25,309
CLI-00001976,2025-02-25,309
CLI-00002709,2025-02-25,309
CLI-00001662,2025-02-26,308
CLI-00002559,2025-02-26,308
CLI-00000019,2025-02-27,307
CLI-00000168,2025-02-27,307
CLI-00000672,2025-02-27,307
CLI-00001648,2025-02-27,307
CLI-00003450,2025-02-27,307
CLI-00001501,2025-02-28,306
CLI-00003352,2025-02-28,306
CLI-00001367,2025-03-01,305
CLI-00001579,2025-03-01,305
CLI-00001791,2025-03-01,305
CLI-00001813,2025-03-01,305
CLI-00002334,2025-03-01,305
CLI-00002420,2025-03-01,305
CLI-00003167,2025-03-01,305
CLI-00003479,2025-03-01,305
CLI-00001188,2025-03-02,304
CLI-00002027,2025-03-02,304
CLI-00002240,2025-03-02,304
CLI-00000754,2025-03-03,303
CLI-00002016,2025-03-03,303
CLI-00002082,2025-03-03,303
CLI-00002820,2025-03-03,303
CLI-00000490,2025-03-04,302
CLI-00001510,2025-03-04,302
CLI-00002509,2025-03-04,302
CLI-00002767,2025-03-04,302
CLI-00003262,2025-03-04,302
CLI-00003383,2025-03-04,302
CLI-00003410,2025-03-04,302
CLI-00003495,2025-03-04,302
CLI-00000904,2025-03-05,301
CLI-00001220,2025-03-05,301
CLI-00000389,2025-03-06,300
CLI-00001246,2025-03-06,300
CLI-00000488,2025-03-07,299
CLI-00000924,2025-03-07,299
CLI-00001171,2025-03-07,299
CLI-00002647,2025-03-07,299
CLI-00003376,2025-03-07,299
CLI-00003466,2025-03-07,299
CLI-00000723,2025-03-08,298
CLI-00001420,2025-03-08,298
CLI-00001652,2025-03-08,298
CLI-00002018,2025-03-08,298
CLI-00003092,2025-03-08,298
CLI-00000560,2025-03-09,297
CLI-00001232,2025-03-09,297
CLI-00001671,2025-03-09,297
CLI-00001948,2025-03-09,297
CLI-00002601,2025-03-09,297
CLI-00003064,2025-03-09,297
CLI-00000788,2025-03-10,296
CLI-00000859,2025-03-10,296
CLI-00002114,2025-03-10,296
CLI-00000428,2025-03-11,295
CLI-00000583,2025-03-11,295
CLI-00001000,2025-03-11,295
CLI-00001159,2025-03-11,295
CLI-00001234,2025-03-11,295
CLI-00001285,2025-03-11,295
CLI-00001540,2025-03-12,294
CLI-00003011,2025-03-12,294
CLI-00003475,2025-03-12,294
CLI-00000368,2025-03-13,293
CLI-00001261,2025-03-13,293
CLI-00001763,2025-03-13,293
CLI-00002942,2025-03-13,293
CLI-00000301,2025-03-14,292
CLI-00000996,2025-03-14,292
CLI-00000601,2025-03-15,291
CLI-00001550,2025-03-15,291
CLI-00000076,2025-03-16,290
CLI-00000474,2025-03-16,290
CLI-00001340,2025-03-16,290
CLI-00002202,2025-03-16,290
CLI-00002623,2025-03-16,290
CLI-00003547,2025-03-16,290
CLI-00002816,2025-03-17,289
CLI-00002917,2025-03-17,289
CLI-00002934,2025-03-17,289
CLI-00000782,2025-03-18,288
CLI-00001628,2025-03-18,288
CLI-00000249,2025-03-19,287
CLI-00000441,2025-03-19,287
CLI-00000547,2025-03-19,287
CLI-00000967,2025-03-19,287
CLI-00001765,2025-03-19,287
CLI-00001972,2025-03-19,287
CLI-00003507,2025-03-19,287
CLI-00000012,2025-03-20,286
CLI-00000194,2025-03-20,286
CLI-00000645,2025-03-20,286
CLI-00001239,2025-03-20,286
CLI-00002385,2025-03-20,286
CLI-00002418,2025-03-20,286
CLI-00003542,2025-03-20,286
CLI-00001532,2025-03-21,285
CLI-00002320,2025-03-21,285
CLI-00002556,2025-03-21,285
CLI-00002811,2025-03-21,285
CLI-00002887,2025-03-21,285
CLI-00000128,2025-03-22,284
CLI-00000236,2025-03-22,284
CLI-00001222,2025-03-22,284
CLI-00002311,2025-03-22,284
CLI-00002417,2025-03-22,284
CLI-00000046,2025-03-23,283
CLI-00002486,2025-03-23,283
CLI-00002875,2025-03-23,283
CLI-00000552,2025-03-24,282
CLI-00001946,2025-03-24,282
CLI-00002677,2025-03-24,282
CLI-00000150,2025-03-25,281
CLI-00000397,2025-03-25,281
CLI-00000632,2025-03-25,281
CLI-00001223,2025-03-25,281
CLI-00002586,2025-03-25,281
CLI-00000272,2025-03-26,280
CLI-00001818,2025-03-26,280
CLI-00001995,2025-03-26,280
CLI-00002969,2025-03-26,280
CLI-00001210,2025-03-27,279
CLI-00001768,2025-03-27,279
CLI-00001819,2025-03-27,279
CLI-00002413,2025-03-27,279
CLI-00002903,2025-03-27,279
CLI-00003239,2025-03-27,279
CLI-00000737,2025-03-28,278
CLI-00001066,2025-03-28,278
CLI-00002022,2025-03-28,278
CLI-00002211,2025-03-28,278
CLI-00002808,2025-03-28,278
CLI-00003032,2025-03-28,278
CLI-00003524,2025-03-28,278
CLI-00000183,2025-04-01,274
CLI-00000495,2025-04-01,274
CLI-00001661,2025-04-01,274
CLI-00001992,2025-04-01,274
CLI-00002772,2025-04-01,274
CLI-00001513,2025-04-02,273
CLI-00001844,2025-04-02,273
CLI-00002600,2025-04-02,273
CLI-00000104,2025-04-03,272
CLI-00000381,2025-04-03,272
CLI-00000790,2025-04-03,272
CLI-00001131,2025-04-03,272
CLI-00001759,2025-04-03,272
CLI-00003592,2025-04-03,272
CLI-00000465,2025-04-04,271
CLI-00000636,2025-04-04,271
CLI-00001208,2025-04-04,271
CLI-00001449,2025-04-04,271
CLI-00001810,2025-04-04,271
CLI-00002100,2025-04-04,271
CLI-00003509,2025-04-04,271
CLI-00000814,2025-04-05,270
CLI-00000930,2025-04-05,270
CLI-00002932,2025-04-05,270
CLI-00003251,2025-04-05,270
CLI-00001549,2025-04-06,269
CLI-00001756,2025-04-06,269
CLI-00000429,2025-04-07,268
CLI-00000510,2025-04-07,268
CLI-00001494,2025-04-07,268
CLI-00001636,2025-04-07,268
CLI-00001781,2025-04-07,268
CLI-00002266,2025-04-07,268
CLI-00002440,2025-04-07,268
CLI-00000067,2025-04-08,267
CLI-00001922,2025-04-08,267
CLI-00002374,2025-04-08,267
CLI-00003552,2025-04-08,267
CLI-00001383,2025-04-09,266
CLI-00001826,2025-04-09,266
CLI-00001980,2025-04-09,266
CLI-00002067,2025-04-09,266
CLI-00001301,2025-04-10,265
CLI-00001411,2025-04-10,265
CLI-00002558,2025-04-10,265
CLI-00002739,2025-04-10,265
CLI-00000744,2025-04-11,264
CLI-00001841,2025-04-11,264
CLI-00003398,2025-04-11,264
CLI-00003521,2025-04-11,264
CLI-00000157,2025-04-12,263
CLI-00000837,2025-04-12,263
CLI-00001314,2025-04-12,263
CLI-00001325,2025-04-12,263
CLI-00001774,2025-04-12,263
CLI-00001823,2025-04-12,263
CLI-00002032,2025-04-12,263
CLI-00000558,2025-04-13,262
CLI-00001773,2025-04-13,262
CLI-00001783,2025-04-13,262
CLI-00001798,2025-04-13,262
CLI-00002128,2025-04-13,262
CLI-00003246,2025-04-13,262
CLI-00000201,2025-04-14,261
CLI-00000876,2025-04-14,261
CLI-00000957,2025-04-14,261
CLI-00001361,2025-04-14,261
CLI-00001499,2025-04-14,261
CLI-00000078,2025-04-15,260
CLI-00000521,2025-04-15,260
CLI-00000968,2025-04-15,260
CLI-00001025,2025-04-15,260
CLI-00001373,2025-04-15,260
CLI-00002360,2025-04-15,260
CLI-00002525,2025-04-15,260
CLI-00002673,2025-04-15,260
CLI-00002788,2025-04-16,259
CLI-00003519,2025-04-16,259
CLI-00003084,2025-04-17,258
CLI-00003243,2025-04-17,258
CLI-00001091,2025-04-18,257
CLI-00001341,2025-04-18,257
CLI-00001861,2025-04-18,257
CLI-00002560,2025-04-18,257
CLI-00002608,2025-04-18,257
CLI-00002711,2025-04-18,257
CLI-00000026,2025-04-19,256
CLI-00000327,2025-04-19,256
CLI-00000799,2025-04-19,256
CLI-00001359,2025-04-19,256
CLI-00002193,2025-04-19,256
CLI-00003558,2025-04-19,256
CLI-00001071,2025-04-20,255
CLI-00003536,2025-04-20,255
CLI-00001405,2025-04-21,254
CLI-00001888,2025-04-21,254
CLI-00002410,2025-04-21,254
CLI-00000917,2025-04-22,253
CLI-00003388,2025-04-22,253
CLI-00003591,2025-04-22,253
CLI-00001631,2025-04-23,252
CLI-00001677,2025-04-23,252
CLI-00001714,2025-04-23,252
CLI-00001754,2025-04-23,252
CLI-00002306,2025-04-23,252
CLI-00003351,2025-04-23,252
CLI-00003452,2025-04-23,252
CLI-00001020,2025-04-24,251
CLI-00001664,2025-04-24,251
CLI-00001800,2025-04-24,251
CLI-00002884,2025-04-24,251
CLI-00000329,2025-04-25,250
CLI-00001595,2025-04-25,250
CLI-00002162,2025-04-25,250
CLI-00000517,2025-04-26,249
CLI-00000885,2025-04-26,249
CLI-00001458,2025-04-26,249
CLI-00001656,2025-04-26,249
CLI-00003098,2025-04-26,249
CLI-00003304,2025-04-26,249
CLI-00001293,2025-04-27,248
CLI-00002155,2025-04-27,248
CLI-00002187,2025-04-27,248
CLI-00002234,2025-04-27,248
CLI-00001090,2025-04-28,247
CLI-00002303,2025-04-28,247
CLI-00002482,2025-04-28,247
CLI-00002611,2025-04-28,247
CLI-00003186,2025-04-28,247
CLI-00003478,2025-04-28,247
CLI-00001932,2025-05-01,244
CLI-00002185,2025-05-01,244
CLI-00002285,2025-05-01,244
CLI-00003346,2025-05-01,244
CLI-00000480,2025-05-02,243
CLI-00001247,2025-05-02,243
CLI-00003128,2025-05-02,243
CLI-00001206,2025-05-03,242
CLI-00002958,2025-05-03,242
CLI-00000263,2025-05-04,241
CLI-00000965,2025-05-04,241
CLI-00002721,2025-05-04,241
CLI-00003006,2025-05-04,241
CLI-00003585,2025-05-04,241
CLI-00000230,2025-05-05,240
CLI-00000522,2025-05-05,240
CLI-00001956,2025-05-05,240
CLI-00002149,2025-05-05,240
CLI-00002186,2025-05-05,240
CLI-00002633,2025-05-05,240
CLI-00003472,2025-05-05,240
CLI-00000688,2025-05-06,239
CLI-00000830,2025-05-06,239
CLI-00002571,2025-05-06,239
CLI-00002598,2025-05-06,239
CLI-00003155,2025-05-06,239
CLI-00000060,2025-05-07,238
CLI-00000673,2025-05-07,238
CLI-00001920,2025-05-07,238
CLI-00002552,2025-05-07,238
CLI-00002959,2025-05-07,238
CLI-00000514,2025-05-08,237
CLI-00001199,2025-05-08,237
CLI-00000300,2025-05-09,236
CLI-00000706,2025-05-09,236
CLI-00001571,2025-05-09,236
CLI-00001792,2025-05-09,236
CLI-00002412,2025-05-09,236
CLI-00003040,2025-05-09,236
CLI-00002803,2025-05-10,235
CLI-00002885,2025-05-10,235
CLI-00003001,2025-05-10,235
CLI-00001251,2025-05-11,234
CLI-00001543,2025-05-11,234
CLI-00001864,2025-05-11,234
CLI-00001886,2025-05-11,234
CLI-00002012,2025-05-11,234
CLI-00002798,2025-05-11,234
CLI-00000483,2025-05-12,233
CLI-00001049,2025-05-12,233
CLI-00002316,2025-05-12,233
CLI-00003296,2025-05-12,233
CLI-00003424,2025-05-12,233
CLI-00000190,2025-05-13,232
CLI-00000853,2025-05-13,232
CLI-00003109,2025-05-13,232
